Cs,FA,MA,I,Br,structure,bandgap,glass,ETL,ETL-2,Ethickness,HTL,Hthickness,meta,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolution,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.2,0.664,0.136,2.49,0.51,1,1.67593,FTO,c-TiO2,mp-TiO2,32.8,spiro,150.22,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.8,1.09,0.74,16.8
0.0,0.976,0.024,2.928,0.072,1,1.547258333333334,ITO,SnO2,unknown,28.0,spiro,172.0,Ag,two-step,spin,unknown,DMF/DMSO,150.0,20.0,24.03,1.09,0.6801,18.59
0.1,0.0,0.9,3.0,0.0,0,1.54,ITO,PCBM,unknown,22.0,PEDOT:PSS,205.0,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,10.1,1.05,0.73,7.68
0.05,0.85,0.15,2.55,0.45,1,1.69477,FTO,Bi-SnO2,unknown,28.0,spiro,172.0,Ag,two-step,spin,EA/HEX,DMF/DMSO,150.0,20.0,23.18,1.118,0.7627,18.49
0.1,0.747,0.153,2.49,0.51,1,1.564770000000002,ITO,SnO2,unknown,72.6,spiro,200.62,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.79,0.984,0.818,19.15
0.1,0.747,0.153,2.49,0.51,1,1.69005,FTO,ALD-TiO2,unknown,34.6,spiro,160.22,Cu,two-step,spin,CB,DMF/DMSO,100.0,60.0,15.1,1.03,0.63,9.8
0.0,0.0,1.0,3.0,0.0,0,1.52,ITO,PCBM,unknown,24.0,PEDOT:PSS,198.0,Al,one-step,spin,toluene,GBL/DMF,110.0,10.0,8.89,0.89,0.7,5.51
0.15,0.7055,0.1445,2.1,0.9,1,1.7,unknown,unknown,unknown,46.2,unknown,108.0,unknown,unknown,unknown,unknown,unknown,110.0,27.0,18.7,1.19,0.802,18.6
0.05,0.85,0.15,2.55,0.45,1,1.691170000000001,FTO,SG-SnO2,unknown,28.0,spiro,172.0,Ag,two-step,spin,EA/HEX,DMF/DMSO,150.0,20.0,22.74,1.078,0.7324,18.16
0.05,0.7885,0.1615,2.54,0.51,1,1.694578901098901,FTO,TiO2,unknown,72.6,spiro,200.62,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.6,1.129,0.767,20.6
0.05,0.7885,0.1615,2.49,0.51,1,1.697056666666668,FTO,c-TiO2,mp-TiO2,40.0,spiro,26.0314,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,20.038,1.0312,0.725,16.1
0.15,0.7055,0.1445,2.49,0.51,1,1.678110000000001,FTO,c-TiO2,mp-TiO2,30.0,spiro,50.0314,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,19.4,1.088,0.69,14.6
0.05,0.7885,0.1615,2.49,0.51,1,1.637380000000001,ITO,SnO2,unknown,30.0,spiro,165.0,Ag,one-step,spin,CB,DMF/DMSO,120.0,5.0,20.01,1.14,0.7694,17.48
0.05,0.8075,0.1425,2.55,0.45,1,1.68347,FTO,c-TiO2,mp-TiO2,34.6,RCP–BTT,160.22,Au,three-step,spin,CB,DMF/DMSO,100.0,60.0,14.68,1.08,0.53,8.45
0.0,0.85,0.15,2.55,0.45,1,1.6,ITO,TiO2,unknown,23.2,spiro,104.2,Au,one-step,spin,CB,DMF/DMSO,100.0,10.0,20.77,1.04,0.68,14.08
0.0,0.83,0.17,0.5,2.5,1,2.11,FTO,c-TiO2,mp-TiO2,21.2,spiro,94.0034,Au,two-step,spin,CB,DMF/DMSO,100.0,30.0,8.8,0.88,0.43,3.3
0.05,0.7885,0.1615,2.49,0.51,1,1.682600000000001,ITO,SnO2,unknown,23.2,spiro,104.2,Au,two-step,R2R,CB,DMF/DMSO,100.0,10.0,20.62,1.05,0.7605,16.51
0.15,0.85,0.0,0.9,2.1,1,2.0,ITO,TiO2,unknown,21.2,TaTm,133.0034,Au,one-step,spin,toluene,DMSO,100.0,30.0,1.183,11.36,0.774,10.4
