Cs,FA,MA,I,Br,structure,bandgap,glass,ETL,ETL-2,Ethickness,HTL,Hthickness,meta,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolution,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.2,0.664,0.136,2.49,0.51,1,1.67593,13.748588709770196,13.488257532983164,13.383332009508031,32.8,14.50981884057955,150.22,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,20.8,1.09,0.74,16.8
0.0,0.976,0.024,2.928,0.072,1,1.547258333333334,15.131265603223945,15.569879212259472,14.720934210311336,28.0,14.50981884057955,172.0,15.271361592621036,15.043190661450348,14.540728643216081,14.99397098367796,14.00101851851855,150.0,20.0,24.03,1.09,0.6801,18.59
0.1,0.0,0.9,3.0,0.0,0,1.54,15.131265603223945,11.770393394666886,14.720934210311336,22.0,11.599997776310113,205.0,12.108966965883685,13.387363546219715,14.540728643216081,11.813466461809325,11.742799527037969,110.0,10.0,10.1,1.05,0.73,7.68
0.05,0.85,0.15,2.55,0.45,1,1.69477,13.748588709770196,15.00939722933756,14.720934210311336,28.0,14.50981884057955,172.0,15.271361592621036,15.043190661450348,14.540728643216081,14.86456493872716,14.00101851851855,150.0,20.0,23.18,1.118,0.7627,18.49
0.1,0.747,0.153,2.49,0.51,1,1.564770000000002,15.131265603223945,15.569879212259472,14.720934210311336,72.6,14.50981884057955,200.62,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,23.79,0.984,0.818,19.15
0.1,0.747,0.153,2.49,0.51,1,1.69005,13.748588709770196,14.369822431262458,14.720934210311336,34.6,14.50981884057955,160.22,15.422352987268296,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,15.1,1.03,0.63,9.8
0.0,0.0,1.0,3.0,0.0,0,1.52,15.131265603223945,11.770393394666886,14.720934210311336,24.0,11.599997776310113,198.0,12.108966965883685,13.387363546219715,14.540728643216081,11.813466461809325,11.742799527037969,110.0,10.0,8.89,0.89,0.7,5.51
0.15,0.7055,0.1445,2.1,0.9,1,1.7,16.219904627831337,16.219904627831337,14.720934210311336,46.2,13.615021021673606,108.0,16.33707903623317,16.59485963017334,16.35308226066059,14.99397098367796,16.067433477417786,110.0,27.0,18.7,1.19,0.802,18.6
0.05,0.85,0.15,2.55,0.45,1,1.691170000000001,13.748588709770196,14.966461432797772,14.720934210311336,28.0,14.50981884057955,172.0,15.271361592621036,15.043190661450348,14.540728643216081,14.86456493872716,14.00101851851855,150.0,20.0,22.74,1.078,0.7324,18.16
0.05,0.7885,0.1615,2.54,0.51,1,1.694578901098901,13.748588709770196,15.159048660965988,14.720934210311336,72.6,14.50981884057955,200.62,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,23.6,1.129,0.767,20.6
0.05,0.7885,0.1615,2.49,0.51,1,1.697056666666668,13.748588709770196,13.488257532983164,13.383332009508031,40.0,14.50981884057955,26.0314,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,20.038,1.0312,0.725,16.1
0.15,0.7055,0.1445,2.49,0.51,1,1.678110000000001,13.748588709770196,13.488257532983164,13.383332009508031,30.0,14.50981884057955,50.0314,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,19.4,1.088,0.69,14.6
0.05,0.7885,0.1615,2.49,0.51,1,1.637380000000001,15.131265603223945,15.569879212259472,14.720934210311336,30.0,14.50981884057955,165.0,15.271361592621036,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,120.0,5.0,20.01,1.14,0.7694,17.48
0.05,0.8075,0.1425,2.55,0.45,1,1.68347,13.748588709770196,13.488257532983164,13.383332009508031,34.6,13.703108146733062,160.22,14.127791666767372,12.718995012112048,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,14.68,1.08,0.53,8.45
0.0,0.85,0.15,2.55,0.45,1,1.6,15.131265603223945,15.159048660965988,14.720934210311336,23.2,14.50981884057955,104.2,14.127791666767372,13.387363546219715,14.540728643216081,14.234280155654995,14.00101851851855,100.0,10.0,20.77,1.04,0.68,14.08
0.0,0.83,0.17,0.5,2.5,1,2.11,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,8.8,0.88,0.43,3.3
0.05,0.7885,0.1615,2.49,0.51,1,1.682600000000001,15.131265603223945,15.569879212259472,14.720934210311336,23.2,14.50981884057955,104.2,14.127791666767372,15.043190661450348,13.612357075332145,14.234280155654995,14.00101851851855,100.0,10.0,20.62,1.05,0.7605,16.51
0.15,0.85,0.0,0.9,2.1,1,2.0,15.131265603223945,15.159048660965988,14.720934210311336,21.2,14.19100107926913,133.0034,14.127791666767372,13.387363546219715,14.540728643216081,11.813466461809325,14.36215413943355,100.0,30.0,1.183,11.36,0.774,10.4
0.05,0.8,0.15,2.5,0.5,1,1.544115,15.131265603223945,15.569879212259472,14.720934210311336,54.20799999999999,14.50981884057955,100.048,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,60.0,23.6,1.11,76.0,19.9
0.0,1.0,0.0,2.5,0.5,1,1.97,13.748588709770196,13.488257532983164,13.383332009508031,21.2,14.50981884057955,94.0034,14.127791666767372,15.043190661450348,14.540728643216081,14.234280155654995,14.00101851851855,100.0,30.0,14.3,1.2,0.56,9.6
