,Perovskite,bandgap(eV),glass,ETL,ETL-2,"ETL 
thickness(um)",HTL,"HTL 
thickness(um)",meta,"Perovskite 
deposition
 procedure","Perovskite
 deposition
 method","Anti-solvent 
treatment","Precursor
 solution","Annealing
 temperature (°C) ","Annealing
 time (minutes) ",Jsc,Voc,FF,PCE,Article
0,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,1.6,FTO,TiO2,,0.04,CuSbS2,0.1,Pt,two-step,spin,CB ,"DMF, DMSO and NMP",100.0,60.0,22.68,1.14,0.76,19.61,"Jaiswal, N., Singh, V.P., Kumari, D. and Pandey, S.K. (2024), Performance Analysis of Triple-Cation Mixed-Halide Bifacial Perovskite Solar Cell with 17% Rear and 25% Front Efficiency. Energy Technol. 2300639."
1,Cs0.05MA0.05FA0.9PbI3,,FTO,c-TiO2,meso-TiO2,,piro-OMeTAD,0.07,Au,two-step,spin,hlorobenzene,"DMF, DMSO",100.0,60.0,25.32,1.12,0.837,23.76,"P. Dörflinger, Y. Ding, V. Schmid, M. Armer, R. C. Turnell-Ritson, B. Ding, P. J. Dyson, M. K. Nazeeruddin, V. Dyakonov, Influence of an Organic Salt-Based Stabilizing Additive on Charge Carrier Dynamics in Triple Cation Perovskite Solar Cells. Adv. Sci. 2023, 10, 2304502. https://doi.org/10.1002/advs.202304502"
2,Cs0.05MA0.05FA0.9PbI3,,FTO,c-TiO2,meso-TiO2,,piro-OMeTAD,0.07,Au,two-step,spin,hlorobenzene,"DMF, DMSOand[Dmmim]Cl",100.0,60.0,25.26,1.15,0.84,24.46,"P. Dörflinger, Y. Ding, V. Schmid, M. Armer, R. C. Turnell-Ritson, B. Ding, P. J. Dyson, M. K. Nazeeruddin, V. Dyakonov, Influence of an Organic Salt-Based Stabilizing Additive on Charge Carrier Dynamics in Triple Cation Perovskite Solar Cells. Adv. Sci. 2023, 10, 2304502. https://doi.org/10.1002/advs.202304502"
3,Cs0.05MA0.1615FA0.7885PbI2.79Br0.21,1.55,Quartz/ITO,SnO2,,,P3HT,,BCP,two-step,spin,CB ,"DMF,DMSO",150.0,15.0,19.7,0.9,0.57,10.7,"Yu Miyazawa, Gyu Min Kim, Ayumi Ishii, Masashi Ikegami, Tsutomu Miyasaka, Yudai Suzuki, Tomoyuki Yamamoto, Takeshi Ohshima, Shusaku Kanaya, Hiroyuki Toyota, and Kazuyuki Hirose
The Journal of Physical Chemistry C 2021 125 (24), 13131-13137"
4,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1.62,ITO,SnO2,,,PTAA,0.017,Ag,two-step,spin,ANI ,DMF:DMSO:NMP,100.0,40.0,20.33,1.01,0.8073,16.5,"P. K. Deendyal, S. Dhakla, H. Singh, A. Taya, S. Kumar, M. K. Kashyap, ChemistrySelect 2023, 8, e202302252."
5,Cs0.05MA0.10FA0.85PbI2.55Br0.45,,FTO,SnO2,,0.04,Spiro-OMeTAD,,Cu,one-step,spin,CB ,DMSO/DMF,100.0,60.0,22.01,1.045,0.743,17.1,"Zakaria, Y., Aïssa, B., Fix, T. et al. Moderate temperature deposition of RF magnetron sputtered SnO2-based electron transporting layer for triple cation perovskite solar cells. Sci Rep 13, 9100 (2023). https://doi.org/10.1038/s41598-023-35651-1"
6,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,ITO,SnO2,,30,Spiro-OMeTAD,165.0,Ag,one-step,spin,CB ,DMSO/DMF,120.0,0.0,20.17,1.12,0.6634,15.03,"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342."
7,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,ITO,SnO2,,30,Spiro-OMeTAD,165.0,Ag,one-step,spin,CB ,DMSO/DMF,120.0,2.0,21.2,1.12,0.6478,15.37,"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342."
8,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,ITO,SnO2,,30,Spiro-OMeTAD,165.0,Ag,one-step,spin,CB ,DMSO/DMF,120.0,5.0,20.01,1.14,0.7694,17.48,"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342."
9,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,ITO,SnO2,,30,Spiro-OMeTAD,165.0,Ag,one-step,spin,CB ,DMSO/DMF,120.0,10.0,21.32,1.14,0.7622,18.57,"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342."
10,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,ITO,SnO2,,30,Spiro-OMeTAD,165.0,Ag,one-step,spin,CB ,DMSO/DMF,120.0,15.0,20.91,1.14,0.7513,17.97,"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342."
11,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,ITO,SnO2,,30,Spiro-OMeTAD,165.0,Ag,one-step,spin,CB ,DMSO/DMF,120.0,20.0,19.78,1.14,0.7534,17.04,"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342."
12,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,,ITO,SnO2,,30,Spiro-OMeTAD,165.0,Ag,one-step,spin,CB ,DMSO/DMF,120.0,10.0,19.96,1.13,0.6966,15.73,"A. A. Qureshi, S. Javed, M. Adnan, M. Jamshaid, M. Aftab Akram, U. Ali, ChemistrySelect 2023, 8, e202300342."
13,Cs0.05MA0.1615FA0.7885PbI0.9Br0.1,,ITO,PCBM,BCP,,MeO-2PACz,,Ag,two-step,spin,TFT,DMSO/DMF,100.0,30.0,21.65,1.14,0.7652,18.9,"O. Telschow, N. Scheffczyk, A. Hinderhofer, L. Merten, E. Kneschaurek, F. Bertram, Q. Zhou, M. Löffler, F. Schreiber, F. Paulus, Y. Vaynzof, Elucidating Structure Formation in Highly Oriented Triple Cation Perovskite Films. Adv. Sci. 2023, 10, 2206325."
14,Cs0.05MA0.1615FA0.7885PbI0.9Br0.1,,ITO,PCBM,BCP,,MeO-2PACz,,Ag,two-step,spin,IPA,DMSO/DMF,100.0,30.0,22.34,1.142,0.7691,19.91,"O. Telschow, N. Scheffczyk, A. Hinderhofer, L. Merten, E. Kneschaurek, F. Bertram, Q. Zhou, M. Löffler, F. Schreiber, F. Paulus, Y. Vaynzof, Elucidating Structure Formation in Highly Oriented Triple Cation Perovskite Films. Adv. Sci. 2023, 10, 2206325."
