Cs,FA,MA,Pb,I,Br,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.06,0.45,0.49,1.0,1.86,0.96,1,1.8,FTO,SnO2,,,spiro,,C,one-step,spin,,DMF/DMSO,100.0,30.0,12.1,1.05,0.49,7.2
0.05,0.8,0.15,1.0,1.8,1.2,1,1.768,ITO,TiO2,,,CuSCN,,Cu,,,,,,,14.899,1.32,0.651,12.803
0.25,0.5625,0.1875,1.0,2.1,0.9,0,1.76,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,16.7,1.17,0.696,13.6
0.17,0.83,0.0,1.0,1.8,1.2,1,1.75,,,,,,,,,,,,,,19.8,1.2,0.751,17.1
0.15,0.6375,0.2125,1.0,2.1,0.9,0,1.74,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.0,1.11,0.719,14.4
0.05,0.7125,0.2375,1.0,2.1,0.9,0,1.73,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,15.0,1.13,0.66,11.2
0.1,0.75,0.15,1.0,2.01,0.99,1,1.73,,,,,,,,,,,,,,,1.13,,17.3
0.25,0.5625,0.1875,1.0,2.28,0.72,0,1.72,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,17.9,1.12,0.764,15.3
0.15,0.6375,0.2125,1.0,2.28,0.72,0,1.71,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.7,1.09,0.724,14.9
0.25,0.5625,0.1875,1.0,2.4,0.6,0,1.7,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,17.8,1.12,0.705,14.1
0.15,0.7055,0.1445,1.0,2.1,0.9,1,1.7,,,,,,,,,,,,,,18.7,1.19,0.802,18.6
0.3,0.6,0.1,1.0,2.4,0.6,1,1.7,,,,,,,,,,,,,,19.6,1.2,0.82,19.2
0.05,0.7125,0.2375,1.0,2.28,0.72,0,1.68,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,17.5,1.11,0.733,14.3
0.15,0.6375,0.2125,1.0,2.4,0.6,0,1.68,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,19.9,1.1,0.737,16.1
0.25,0.5625,0.1875,1.0,2.49,0.51,0,1.68,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.1,1.13,0.674,13.8
0.15,0.65,0.2,1.0,2.4,0.6,1,1.68,,,,,,,,,,,,,,21.2,1.17,0.798,19.8
0.05,0.7125,0.2375,1.0,2.4,0.6,0,1.67,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18.8,1.11,0.714,14.9
