Cs,FA,MA,I,Br,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
0.06,0.45,0.49,1.86,0.96,1,1.8,13.748588709770196,15.569879212259472,,,14.50981884057955,,13.56754203087829,13.387363546219715,14.540728643216081,,14.00101851851855,100.0,30.0,12.1,1.05,0.49,7.2
0.06,0.45,0.49,1.86,0.96,1,1.8,13.748588709770196,15.569879212259472,,,14.50981884057955,,13.56754203087829,13.387363546219715,13.306277299925917,14.234280155654995,14.00101851851855,100.0,30.0,9.5,0.96,0.4,5.4
0.06,0.45,0.49,1.86,0.96,1,1.8,13.748588709770196,15.569879212259472,,,14.50981884057955,,13.56754203087829,13.387363546219715,13.72262441788751,14.234280155654995,14.00101851851855,100.0,30.0,13,1.05,0.51,8.6
0.05,0.8,0.15,1.8,1.2,1,1.768,15.131265603223945,15.159048660965988,,,14.435800289598644,,15.422352987268296,,,,,,,14.899,1.32,0.651,12.803
0.25,0.5625,0.1875,2.1,0.9,0,1.76,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,16.7,1.17,0.696,13.6
0.17,0.83,0.0,1.8,1.2,1,1.75,,,,,,,,,,,,,,19.8,1.2,0.751,17.1
0.15,0.6375,0.2125,2.1,0.9,0,1.74,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,18,1.11,0.719,14.4
0.05,0.7125,0.2375,2.1,0.9,0,1.73,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,15,1.13,0.66,11.2
0.1,0.75,0.15,2.01,0.99,1,1.73,,,,,,,,,,,,,,,1.13,,17.3
0.25,0.5625,0.1875,2.28,0.72,0,1.72,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,17.9,1.12,0.764,15.3
0.15,0.6375,0.2125,2.28,0.72,0,1.71,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,18.7,1.09,0.724,14.9
0.25,0.5625,0.1875,2.4,0.6,0,1.7,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,17.8,1.12,0.705,14.1
0.15,0.7055,0.1445,2.1,0.9,1,1.7,,,,,,,,,,,,,,18.7,1.19,0.802,18.6
0.3,0.6,0.1,2.4,0.6,1,1.7,,,,,,,,,,,,,,19.6,1.2,0.82,19.2
0.05,0.7125,0.2375,2.28,0.72,0,1.68,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,17.5,1.11,0.733,14.3
0.15,0.6375,0.2125,2.4,0.6,0,1.68,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,19.9,1.1,0.737,16.1
0.25,0.5625,0.1875,2.49,0.51,0,1.68,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,18.1,1.13,0.674,13.8
0.15,0.65,0.2,2.4,0.6,1,1.68,,,,,,,,,,,,,,21.2,1.17,0.798,19.8
0.05,0.7125,0.2375,2.4,0.6,0,1.67,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,18.8,1.11,0.714,14.9
0.2134,0.7566,0.03,2.473,0.4365,1,1.67,,,,,,,,,,,,,,20.2,1.22,0.832,20.4
0.05,0.8,0.15,2.4,0.6,1,1.654,15.131265603223945,15.159048660965988,,,14.435800289598644,,15.422352987268296,,,,,,,16.927,1.14,0.727,14.024
0.2,0.32,0.48,2.8,0.2,1,1.65,13.748588709770196,15.159048660965988,14.408028746648979,,14.1593445469328,,13.56754203087829,15.043190661450348,14.540728643216081,,14.00101851851855,100.0,30.0,12.61,0.889,0.6807,7.64
0.05,0.7125,0.2375,2.49,0.51,0,1.65,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,19.5,1.07,0.704,14.6
0.15,0.6375,0.2125,2.49,0.51,0,1.65,15.131265603223945,15.438223786374428,14.641134841501424,,15.76762475068065,,15.422352987268296,15.043190661450348,14.540728643216081,,14.67173619197974,100.0,30.0,20.3,1.09,0.757,16.8
