Article,Cs,FA,MA,Pb,I,Br,Perovskite,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
"Penpong, K., Seriwatanachai, C., Naikaew, A. et al. Robust perovskite formation via vacuum thermal annealing for indoor perovskite solar cells. Sci Rep 13, 10933 (2023).",0.06,0.45,0.49,1.0,1.86,0.96,FA0.45MA0.49Cs0.06PbI1.86Br0.96Cl0.18,1,1.8,FTO,SnO2,,,spiro,,C,one-step,spin,,DMF/DMSO,100.0,30.0,12.1,1.05,0.49,7.2
"Penpong, K., Seriwatanachai, C., Naikaew, A. et al. Robust perovskite formation via vacuum thermal annealing for indoor perovskite solar cells. Sci Rep 13, 10933 (2023).",0.06,0.45,0.49,1.0,1.86,0.96,FA0.45MA0.49Cs0.06PbI1.86Br0.96Cl0.18,1,1.8,FTO,SnO2,,,spiro,,C,one-step,VAC,CB,DMF/DMSO,100.0,30.0,9.5,0.96,0.4,5.4
"Penpong, K., Seriwatanachai, C., Naikaew, A. et al. Robust perovskite formation via vacuum thermal annealing for indoor perovskite solar cells. Sci Rep 13, 10933 (2023).",0.06,0.45,0.49,1.0,1.86,0.96,FA0.45MA0.49Cs0.06PbI1.86Br0.96Cl0.18,1,1.8,FTO,SnO2,,,spiro,,C,one-step,VTA,CB,DMF/DMSO,100.0,30.0,13,1.05,0.51,8.6
,0.05,0.8,0.15,1.0,1.8,1.2,Cs0.05FA0.8MA0.15PbI1.8Br1.2,1,1.768,ITO,TiO2,,,CuSCN,,Cu,,,,,,,14.899,1.32,0.651,12.803
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.25,0.5625,0.1875,1.0,2.1,0.9,Cs0.25MA0.1875FA0.5625PbI2.1Br0.9,0,1.76,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,16.7,1.17,0.696,13.6
,0.17,0.83,0.0,1.0,1.8,1.2,Cs0.17FA0.83PbI1.8Br1.2,1,1.75,,,,,,,,,,,,,,19.8,1.2,0.751,17.1
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.15,0.6375,0.2125,1.0,2.1,0.9,Cs0.15MA0.2125FA0.6375PbI2.1Br0.9,0,1.74,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,18,1.11,0.719,14.4
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.05,0.7125,0.2375,1.0,2.1,0.9,Cs0.05MA0.2375FA0.7125PbI2.1Br0.9,0,1.73,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,15,1.13,0.66,11.2
,0.1,0.75,0.15,1.0,2.01,0.99,Cs0.1FA0.75MA0.15PbI2.01Br0.99,1,1.73,,,,,,,,,,,,,,,1.13,,17.3
"SALA J, HEYDARIAN M, LAMMAR S, et al. Compositional Investigation for Bandgap Engineering of Wide Bandgap Triple Cation Perovskite [J]. ACS Applied Energy Materials, 2021, 4(7): 6377-84.",0.25,0.5625,0.1875,1.0,2.28,0.72,Cs0.25MA0.1875FA0.5625PbI2.28Br0.72,0,1.72,ITO,C,BCP,,PTAA,,Cu,two-step,spin,,DMF/NMP,100.0,30.0,17.9,1.12,0.764,15.3
